Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@lasmalditas,@lasmalditas,<[2020-04-29T21:24:11.549Z]>,User,,,,,,,Wed Sep 19 10:53:12 CEST 2012,,,,"Soy una novela que habla de los maldit@s, los que no son como los demás, los perseguidos sin culpa,los diferentes",,http://pbs.twimg.com/profile_images/2626090350/ur40gfyyr36d0qqqzapi_bigger.jpeg,125,212,Aunqueseamosmalditas,Eugenia Rico,,,
@farmamigrana,@farmamigrana,,User,,,,,,,Fri Apr 10 21:05:18 CEST 2020,,,,"👩🏼‍🔬Farmacéutica y Migrañosa 🙆🏼‍♀️
Comparto información sobre temas de la #Salud ✍🏼 Escribo sobre #Migraña ✍🏼 +Inf 📧: pharmamigraine@hotmail.com (Elena)",,http://pbs.twimg.com/profile_images/1250427775585943552/b2HWCeqm_bigger.jpg,161,58,FarmaMigraña,España,,,
@leplusvert,@leplusvert,<[2020-04-29T21:30:17.649Z]>,User,,,,,,,Tue Mar 15 02:52:14 CET 2011,,,,俳人。1958年生まれ。,,http://pbs.twimg.com/profile_images/1273500894/oiseau_bigger.jpg,65,754,四ッ谷龍,,,,
@comounhuracan,@comounhuracan,<[2020-04-29T21:30:17.649Z]>,User,,,,,,,Sat Dec 15 09:58:18 CET 2012,,,,'COMO UN HURACÁN COMÚN' es el nombre del conjunto del trabajo creativo de Carlos Javier Sarmiento,,http://pbs.twimg.com/profile_images/685189644837847042/S1EZ4Qqv_bigger.jpg,92,134,COMO UN HURACÁN 🏳,Spain,,,
@yosoykini,@yosoykini,<[2020-04-29T21:31:45.635Z]>,User,,,,,,,Fri Feb 25 12:10:51 CET 2011,,,,Me encanta el fútbol los domingos por la tarde....,,http://pbs.twimg.com/profile_images/644077329174671360/HzP2sy0w_bigger.jpg,4863,727,kinito,cerca de la prisión,,,
@andyge19,@andyge19,<[2020-04-29T21:37:24.546Z]>,User,,,,,,,Thu May 16 06:55:59 CEST 2019,,,,"La belleza es subjetiva, la fotografía capta lo que a simple vista los demás no ven. Y se queda plasmada para siempre. La mujer.",,http://pbs.twimg.com/profile_images/1245948398026489856/F3SXZR66_bigger.jpg,1477,78,AndyGe,,,,
@irvinfernandezr,@irvinfernandezr,,User,,,,,,,Wed Apr 10 06:14:22 CEST 2019,,,,"Especialista en Marketing 🎓
Fundador de Agencia TRES PUNTOS 💬
Social Media Manager 👨‍💻
Diseñador Gráfico💡
Amante de la comida peruana 🇵🇪
Chiclayano de ❤️",,http://pbs.twimg.com/profile_images/1230207123910467584/NSo-XUu3_bigger.jpg,76,15,Irvin Fernández,"Lima, Peru",,,
@rosarioraro,@rosarioraro,<[2020-04-29T21:40:09.714Z]>,User,,,,,,,Tue Sep 18 21:59:04 CEST 2012,,,,"Escritora en la Editorial Planeta, doctora en Filología y directora del Aula de Escritura de la Universitat Jaume I.  https://www.facebook.com/RosarioRaro",,http://pbs.twimg.com/profile_images/517246860323336192/iFPn5J1G_bigger.jpeg,1356,1959,Rosario Raro,,,,
@kirke_ct,@kirke_ct,,User,,,,,,,Sat Jul 04 01:10:22 CEST 2015,,,,Siempre tan lejos.,,http://pbs.twimg.com/profile_images/1157566130447405056/TetA0ijc_bigger.jpg,823,669,Jesús ⚓,Ciudad sin mar,,,
@maferchalo,@maferchalo,<[2020-04-29T21:41:15.058Z]>,User,,,,,,,Fri Apr 10 22:59:41 CEST 2009,,,,Caleña enamorada del diseño y la comunicación. Americana. Mi HT #Uncaleñodeverdad  #RaFans,,http://pbs.twimg.com/profile_images/1179590520890376193/5F51Hc-I_bigger.jpg,839,1453,♕MAFERCHALO💖🌻,"Santiago de Cali, Colombia",,,
@rubaca70,@rubaca70,<[2020-04-29T21:48:43.188Z]>,User,,,,,,,Fri Jul 13 12:27:09 CEST 2012,,,,,,http://pbs.twimg.com/profile_images/378800000362020643/d0f6cbdabd1f7db9667a0d0297fd921b_bigger.png,44,14,Rubén,,,,
@eldiosdelostres,@eldiosdelostres,<[2020-04-29T21:54:50.649Z]>,User,,,,,,,Wed Jul 29 13:32:06 CEST 2015,,,,http://www.eldiosdelostres.com,,http://pbs.twimg.com/profile_images/847978099497218054/XmZgZ9YO_bigger.jpg,177,152,el dios de los tres,España,,,
@lamatracagale,@lamatracagale,<[2020-04-29T21:54:50.649Z]>,User,,,,,,,Mon Aug 08 13:09:50 CEST 2016,,,,GALERÍA | Contact: hola@lamatracagaleria.com,,http://pbs.twimg.com/profile_images/1138879820971094016/3dLqQMkt_bigger.jpg,1073,631,LA MATRACA,"Málaga, España",,,
@jrncalo,@jrncalo,,User,,,,,,,Thu Aug 23 04:06:46 CEST 2007,,,,"𝐽𝑒𝑠𝑢𝑠 𝐶𝘩𝑟𝑖𝑠𝑡 𝑅𝑖𝑠𝑒𝑛 𝑆𝑜𝑛 𝑜𝑓 𝐺𝑜𝑑 𝑎𝑛𝑑 𝑆𝑎𝑣𝑖𝑜𝑟
𝐽é𝑠𝑢𝑠 𝐶𝘩𝑟𝑖𝑠𝑡 𝑓𝑖𝑙𝑠 𝑑𝑒 𝐷𝑖𝑒𝑢 𝑒𝑡 𝑆𝑎𝑢𝑣𝑒𝑢𝑟
𝐽𝑒𝑠𝑢𝑠 𝐶𝑟𝑖𝑠𝑡𝑜 𝑓𝑖𝑙𝘩𝑜 𝑑𝑒 𝐷𝑒𝑢𝑠 𝑒 𝑆𝑎𝑙𝑣𝑎𝑑𝑜𝑟
𝐺𝑒𝑠𝑢̀ 𝐹𝑖𝑔𝑙𝑖𝑜 𝑑𝑖 𝐷𝑖𝑜 𝑒 𝑆𝑎𝑙𝑣𝑎𝑡𝑜𝑟𝑒",,http://pbs.twimg.com/profile_images/660966983693922304/9Z6CzWok_bigger.jpg,1709,452,@𝐽𝑒𝑠𝑢𝑐𝑟𝑖𝑠𝑡𝑜𝑅𝑒𝑠𝑢𝑐𝑖𝑡𝑎𝑑𝑜,ירושלים,,,
@monte_avila,@monte_avila,<[2020-04-29T21:55:03.223Z]>,User,,,,,,,Sat Feb 19 00:09:31 CET 2011,,,,"La editorial más importante de Venezuela. The most important publishing house in Venezuela. 50 años, un continente #LeerEsVida",,http://pbs.twimg.com/profile_images/793510791223898112/8hD2pY4i_bigger.jpg,2127,16339,Monte Ávila Editores Latinoamericana,"Caracas, Venezuela",,,
@officialcov,@officialcov,<[2020-04-29T21:56:05.851Z]>,User,,,,,,,Fri Apr 24 03:59:24 CEST 2015,,,,Cuenta Oficial del Comité Olímpico Venezolano / Official Account of the Venezuelan Olympic Committee / Instagram y Facebook @covofficial,,http://pbs.twimg.com/profile_images/1200888202984329216/ZytgHJZF_bigger.jpg,2910,22029,COVofficial,"Caracas, Distrito Capital",,,
@communitylabsmx,@communitylabsmx,<[2020-04-29T21:57:00.788Z]>,User,,,,,,,Sun Jul 16 07:17:52 CEST 2017,,,,Agencia de #MarketingDigital & #GrowthHacking enfocada en alcanzar crecimiento rápido y sustentable 🚀,,http://pbs.twimg.com/profile_images/933835296159838208/tvtHmPOf_bigger.jpg,3382,3526,CommunityLabs,México,,,
@laneurona_com,@laneurona_com,<[2020-04-29T21:57:00.788Z]>,User,,,,,,,Wed Feb 29 10:12:56 CET 2012,,,,La primera plataforma de contenidos para directivos y profesionales · #GranEmpresa #Pymes #autónomos #Finanzas #marketing #Ventas #RRHH #eCommerce #Retail ·,,http://pbs.twimg.com/profile_images/1148133292568383490/wbwlH7Mk_bigger.png,9008,14580,La Neurona,España,,,
@irenempalmero,@irenempalmero,<[2020-04-29T21:57:00.788Z]>,User,,,,,,,,,,,,,,,,,,,,
@escaleraanton,@escaleraanton,<[2020-04-29T21:58:33.449Z]>,User,,,,,,,Mon Jan 01 14:53:10 CET 2018,,,,soy mas de leer que de escribir. pero respondere a todo el mundo que me escriba.,,http://pbs.twimg.com/profile_images/1254710160418918400/C6-QSYez_bigger.jpg,1275,625,AntonioEscalera,Alcobendas (Madrid),,,
@tuitlorena,@tuitlorena,<[2020-04-29T21:59:50.310Z]>,User,,,,,,,Sat Feb 08 01:30:07 CET 2014,,,,Enamorada del misterio y todo lo enigmático. 👻🕸️👽,,http://pbs.twimg.com/profile_images/811058834546585601/sBIdmvlJ_bigger.jpg,3908,4309,Lorena Zelarius,"Barcelona, España",,,
@amalvoy,@amalvoy,"<[2020-04-29T21:59:50.310Z, 2020-04-29T22:09:58.506Z]>",User,,,,,,,Thu May 01 16:02:41 CEST 2014,,,,"En la cara oculta de la luna. Cuando el río sueña, luna lleva. No DM.",,http://pbs.twimg.com/profile_images/461985371681996801/drsfH85b_bigger.jpeg,3450,3868,A.Malvoy,,,,
@freespirit_888,@freespirit_888,<[2020-05-01T00:55:49.259Z]>,User,,,,,,,Thu Nov 03 00:39:43 CET 2011,,,,"#PensamientoCrítico #LearningEnglish #Felicidad #PazInterior #Fitness #CrecimientoPersonal #Running #AguaDeMar #Perro #Ecología #Meditación #Mindfulness",,http://pbs.twimg.com/profile_images/1220865381356711936/gWCrw6r9_bigger.jpg,4433,2436,FreeSpirit_888,Universo.,,,
@yzgsaork,@yzgsaork,<[2020-04-29T22:09:58.506Z]>,User,,,,,,,Mon May 13 18:35:11 CEST 2013,,,,"Just Improve.
Hay que buscar la belleza de lo simple y distinguir lo simple de la simpleza. 
Hijo de Adam Smith. Cuasi-Economista de la UCLM",,http://pbs.twimg.com/profile_images/1021137519214292992/cBvt-oqm_bigger.jpg,171,223,Caballero Vacío,Summoner Rift,,,
@annaflorsdefum,@annaflorsdefum,,User,,,,,,,Mon Feb 22 14:14:59 CET 2016,,,,"🖍️ illustrator and dreamer   
✉️ annaflorsdefum@gmail.com
http://instagram.com/annaflorsdefum/",,http://pbs.twimg.com/profile_images/1051504956199591937/jcM1EF3X_bigger.jpg,379,111,Anna Florsdefum,"Barcelona, Espanya",,,
@startup_vlc,@startup_vlc,,User,,,,,,,Wed Jun 14 11:10:37 CEST 2017,,,,📍The Startup Ecosystem Association in #Valencia 🚀Global home for #tech #startups & #entrepreneurs ➡️#StartupValencia,,http://pbs.twimg.com/profile_images/1227358385001156608/y1_1g4pS_bigger.jpg,1719,5168,Startup Valencia,"Valencia, España",,,
@exquizofrenics,@exquizofrenics,,User,,,,,,,Fri Feb 22 10:17:52 CET 2013,,,,"Me suspendieron mi cuenta ""A"" (@escinefilo) por subir un vídeo de Sergio Ramos dando una patada a Messi. Una vez fui periodista.",,http://pbs.twimg.com/profile_images/1232799565134385153/Egh05XB4_bigger.jpg,59,57,Esquizofrénico,De Ponferrada a Lavapiés,,,
